E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 17:39:48,708 fflow.py init [line:848] INFO PROCESS ID:	35612
2026-09-24 17:39:48,708 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 17:39:48,708 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 17:39:48,708 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 17:39:48,717 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 17:39:48,717 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 17:39:49,777 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 17:39:49,863 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 17:39:54,650 fflow.py init [line:931] INFO Ready to start.
2026-09-24 17:39:54,650 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 17:39:54,650 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 17:39:56,312 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 17:39:57,400 fedbase.py run [line:303] INFO Eval Time Cost:               2.7496s
2026-09-24 17:39:57,400 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 17:39:59,481 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 17:39:59,499 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 17:39:59,499 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1322
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO test_loss                     5.6616
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1296
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1291
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2932
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO val_loss                      5.6403
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6429
2026-09-24 17:40:00,991 simple_logger.py log_once [line:28] INFO std_val_loss                  3.0910
2026-09-24 17:40:02,074 fedbase.py run [line:316] INFO Eval Time Cost:               2.5748s
2026-09-24 17:40:02,074 asyncbase.py iterate [line:68] INFO Select clients [np.int64(15)] at time 2.
2026-09-24 17:40:02,401 asyncbase.py iterate [line:73] INFO Receive new models from clients [7] at time 2
2026-09-24 17:40:02,407 fedbase.py run [line:311] INFO --------------Round 2--------------
2026-09-24 17:40:02,407 simple_logger.py log_once [line:14] INFO Current_time:2
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1277
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO test_loss                     6.6187
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1359
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1360
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2895
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO val_loss                      6.5875
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO mean_val_loss                 6.5951
2026-09-24 17:40:03,902 simple_logger.py log_once [line:28] INFO std_val_loss                  3.4150
2026-09-24 17:40:04,973 fedbase.py run [line:316] INFO Eval Time Cost:               2.5660s
2026-09-24 17:40:04,973 asyncbase.py iterate [line:73] INFO Receive new models from clients [1, 19, 18] at time 3
2026-09-24 17:40:04,985 fedbase.py run [line:311] INFO --------------Round 3--------------
2026-09-24 17:40:04,985 simple_logger.py log_once [line:14] INFO Current_time:3
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0982
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO test_loss                     8.3915
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0990
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0994
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2796
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO val_loss                      8.3402
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO mean_val_loss                 8.3524
2026-09-24 17:40:06,491 simple_logger.py log_once [line:28] INFO std_val_loss                  4.0974
2026-09-24 17:40:07,545 fedbase.py run [line:316] INFO Eval Time Cost:               2.5603s
2026-09-24 17:40:07,546 asyncbase.py iterate [line:68] INFO Select clients [np.int64(2), np.int64(7), np.int64(11), np.int64(12)] at time 4.
2026-09-24 17:40:08,846 asyncbase.py iterate [line:73] INFO Receive new models from clients [9, 12, 15] at time 4
2026-09-24 17:40:08,859 fedbase.py run [line:311] INFO --------------Round 4--------------
2026-09-24 17:40:08,859 simple_logger.py log_once [line:14] INFO Current_time:4
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1035
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO test_loss                     2.4329
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1037
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1047
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2630
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO val_loss                      2.4337
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.4331
2026-09-24 17:40:10,374 simple_logger.py log_once [line:28] INFO std_val_loss                  0.5333
2026-09-24 17:40:11,451 fedbase.py run [line:316] INFO Eval Time Cost:               2.5919s
2026-09-24 17:40:11,451 asyncbase.py iterate [line:68] INFO Select clients [np.int64(16), np.int64(12), np.int64(0)] at time 5.
2026-09-24 17:40:12,391 asyncbase.py iterate [line:73] INFO Receive new models from clients [2, 11, 12] at time 6
2026-09-24 17:40:12,404 fedbase.py run [line:311] INFO --------------Round 5--------------
2026-09-24 17:40:12,404 simple_logger.py log_once [line:14] INFO Current_time:6
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1141
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO test_loss                     2.7466
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1135
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1145
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2667
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO val_loss                      2.7463
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.7442
2026-09-24 17:40:13,907 simple_logger.py log_once [line:28] INFO std_val_loss                  1.0899
2026-09-24 17:40:14,976 fedbase.py run [line:316] INFO Eval Time Cost:               2.5720s
2026-09-24 17:40:14,976 asyncbase.py iterate [line:68] INFO Select clients [np.int64(6)] at time 7.
2026-09-24 17:40:15,308 asyncbase.py iterate [line:73] INFO Receive new models from clients [7, 16, 6] at time 7
2026-09-24 17:40:15,327 fedbase.py run [line:311] INFO --------------Round 6--------------
2026-09-24 17:40:15,327 simple_logger.py log_once [line:14] INFO Current_time:7
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2226
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO test_loss                     2.2055
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2292
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2298
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3592
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO val_loss                      2.2000
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.1987
2026-09-24 17:40:16,865 simple_logger.py log_once [line:28] INFO std_val_loss                  0.7054
2026-09-24 17:40:17,954 fedbase.py run [line:316] INFO Eval Time Cost:               2.6269s
2026-09-24 17:40:17,954 asyncbase.py iterate [line:68] INFO Select clients [np.int64(1), np.int64(16), np.int64(13), np.int64(14), np.int64(19)] at time 8.
2026-09-24 17:40:19,601 asyncbase.py iterate [line:73] INFO Receive new models from clients [0] at time 8
2026-09-24 17:40:19,607 fedbase.py run [line:311] INFO --------------Round 7--------------
2026-09-24 17:40:19,607 simple_logger.py log_once [line:14] INFO Current_time:8
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1032
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO test_loss                     4.6285
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0983
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0993
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2871
2026-09-24 17:40:21,092 simple_logger.py log_once [line:28] INFO val_loss                      4.6328
2026-09-24 17:40:21,093 simple_logger.py log_once [line:28] INFO mean_val_loss                 4.6279
2026-09-24 17:40:21,093 simple_logger.py log_once [line:28] INFO std_val_loss                  2.2599
2026-09-24 17:40:22,182 fedbase.py run [line:316] INFO Eval Time Cost:               2.5749s
2026-09-24 17:40:22,182 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7)] at time 9.
2026-09-24 17:40:22,497 asyncbase.py iterate [line:73] INFO Receive new models from clients [19, 7] at time 9
2026-09-24 17:40:22,517 fedbase.py run [line:311] INFO --------------Round 8--------------
2026-09-24 17:40:22,517 simple_logger.py log_once [line:14] INFO Current_time:9
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1490
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO test_loss                     4.0960
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1486
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1491
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2952
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO val_loss                      4.0979
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO mean_val_loss                 4.0991
2026-09-24 17:40:24,025 simple_logger.py log_once [line:28] INFO std_val_loss                  1.9810
2026-09-24 17:40:25,095 fedbase.py run [line:316] INFO Eval Time Cost:               2.5784s
2026-09-24 17:40:25,095 asyncbase.py iterate [line:68] INFO Select clients [np.int64(19), np.int64(4)] at time 10.
2026-09-24 17:40:25,749 asyncbase.py iterate [line:73] INFO Receive new models from clients [1] at time 10
2026-09-24 17:40:25,754 fedbase.py run [line:311] INFO --------------Round 9--------------
2026-09-24 17:40:25,754 simple_logger.py log_once [line:14] INFO Current_time:10
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1838
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO test_loss                     7.6187
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1841
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1845
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3409
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO val_loss                      7.5422
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO mean_val_loss                 7.5477
2026-09-24 17:40:27,264 simple_logger.py log_once [line:28] INFO std_val_loss                  4.4954
