E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 17:40:34,627 fflow.py init [line:848] INFO PROCESS ID:	35788
2026-09-24 17:40:34,627 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 17:40:34,627 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 17:40:34,627 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 17:40:34,635 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 17:40:34,636 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 17:40:35,645 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 17:40:35,731 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 17:40:40,124 fflow.py init [line:931] INFO Ready to start.
2026-09-24 17:40:40,124 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 17:40:40,124 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 17:40:41,734 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 17:40:42,815 fedbase.py run [line:303] INFO Eval Time Cost:               2.6912s
2026-09-24 17:40:42,816 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 17:40:44,859 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 17:40:44,885 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 17:40:44,885 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1323
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO test_loss                     5.6618
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1296
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1291
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2932
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO val_loss                      5.6405
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6431
2026-09-24 17:40:46,405 simple_logger.py log_once [line:28] INFO std_val_loss                  3.0913
2026-09-24 17:40:47,497 fedbase.py run [line:316] INFO Eval Time Cost:               2.6121s
2026-09-24 17:40:47,498 asyncbase.py iterate [line:68] INFO Select clients [np.int64(15)] at time 2.
2026-09-24 17:40:47,870 asyncbase.py iterate [line:73] INFO Receive new models from clients [7] at time 2
2026-09-24 17:40:47,877 fedbase.py run [line:311] INFO --------------Round 2--------------
2026-09-24 17:40:47,882 simple_logger.py log_once [line:14] INFO Current_time:2
2026-09-24 17:40:49,368 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1274
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO test_loss                     6.6309
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1356
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1357
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2893
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO val_loss                      6.5995
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO mean_val_loss                 6.6072
2026-09-24 17:40:49,369 simple_logger.py log_once [line:28] INFO std_val_loss                  3.4192
2026-09-24 17:40:50,442 fedbase.py run [line:316] INFO Eval Time Cost:               2.5595s
2026-09-24 17:40:50,442 asyncbase.py iterate [line:73] INFO Receive new models from clients [1, 19, 18] at time 3
2026-09-24 17:40:50,463 fedbase.py run [line:311] INFO --------------Round 3--------------
2026-09-24 17:40:50,464 simple_logger.py log_once [line:14] INFO Current_time:3
2026-09-24 17:40:51,957 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0982
2026-09-24 17:40:51,958 simple_logger.py log_once [line:28] INFO test_loss                     8.4038
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0990
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0994
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2796
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO val_loss                      8.3523
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO mean_val_loss                 8.3644
2026-09-24 17:40:51,967 simple_logger.py log_once [line:28] INFO std_val_loss                  4.1015
2026-09-24 17:40:53,072 fedbase.py run [line:316] INFO Eval Time Cost:               2.6087s
2026-09-24 17:40:53,072 asyncbase.py iterate [line:68] INFO Select clients [np.int64(2), np.int64(7), np.int64(11), np.int64(12)] at time 4.
2026-09-24 17:40:54,392 asyncbase.py iterate [line:73] INFO Receive new models from clients [9, 12, 15] at time 4
2026-09-24 17:40:54,407 fedbase.py run [line:311] INFO --------------Round 4--------------
2026-09-24 17:40:54,407 simple_logger.py log_once [line:14] INFO Current_time:4
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1132
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO test_loss                     2.4025
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1137
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1147
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2668
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO val_loss                      2.4032
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.4026
2026-09-24 17:40:55,914 simple_logger.py log_once [line:28] INFO std_val_loss                  0.4908
2026-09-24 17:40:56,982 fedbase.py run [line:316] INFO Eval Time Cost:               2.5746s
2026-09-24 17:40:56,982 asyncbase.py iterate [line:68] INFO Select clients [np.int64(16), np.int64(12), np.int64(0)] at time 5.
2026-09-24 17:40:57,926 asyncbase.py iterate [line:73] INFO Receive new models from clients [2, 11, 12] at time 6
2026-09-24 17:40:57,943 fedbase.py run [line:311] INFO --------------Round 5--------------
2026-09-24 17:40:57,943 simple_logger.py log_once [line:14] INFO Current_time:6
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1184
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO test_loss                     2.7650
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1188
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1198
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2694
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO val_loss                      2.7644
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.7624
2026-09-24 17:40:59,460 simple_logger.py log_once [line:28] INFO std_val_loss                  1.1464
2026-09-24 17:41:00,537 fedbase.py run [line:316] INFO Eval Time Cost:               2.5948s
2026-09-24 17:41:00,538 asyncbase.py iterate [line:68] INFO Select clients [np.int64(6)] at time 7.
2026-09-24 17:41:00,856 asyncbase.py iterate [line:73] INFO Receive new models from clients [7, 16, 6] at time 7
2026-09-24 17:41:00,880 fedbase.py run [line:311] INFO --------------Round 6--------------
2026-09-24 17:41:00,881 simple_logger.py log_once [line:14] INFO Current_time:7
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2438
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO test_loss                     2.3693
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2532
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2539
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3640
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO val_loss                      2.3629
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3619
2026-09-24 17:41:02,408 simple_logger.py log_once [line:28] INFO std_val_loss                  1.1321
2026-09-24 17:41:03,500 fedbase.py run [line:316] INFO Eval Time Cost:               2.6194s
2026-09-24 17:41:03,500 asyncbase.py iterate [line:68] INFO Select clients [np.int64(1), np.int64(16), np.int64(13), np.int64(14), np.int64(19)] at time 8.
2026-09-24 17:41:05,136 asyncbase.py iterate [line:73] INFO Receive new models from clients [0] at time 8
2026-09-24 17:41:05,143 fedbase.py run [line:311] INFO --------------Round 7--------------
2026-09-24 17:41:05,143 simple_logger.py log_once [line:14] INFO Current_time:8
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1032
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO test_loss                     5.2219
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0983
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0993
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2871
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO val_loss                      5.2253
2026-09-24 17:41:06,647 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.2204
