E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 18:18:52,375 fflow.py init [line:848] INFO PROCESS ID:	45512
2026-09-24 18:18:52,375 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 18:18:52,376 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 18:18:52,376 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 18:18:52,385 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 18:18:52,385 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 18:18:53,565 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 18:18:53,660 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 18:18:58,147 fflow.py init [line:931] INFO Ready to start.
2026-09-24 18:18:58,147 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 18:18:58,147 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 18:18:59,757 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 18:18:59,758 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 18:18:59,758 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 18:18:59,758 fedbase.py run [line:303] INFO Eval Time Cost:               1.6102s
2026-09-24 18:18:59,768 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 18:19:01,667 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 18:19:01,683 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 18:19:01,683 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1817
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO test_loss                     5.7202
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1866
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1863
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3514
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO val_loss                      5.6858
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6892
2026-09-24 18:19:03,178 simple_logger.py log_once [line:28] INFO std_val_loss                  3.3002
2026-09-24 18:19:03,178 fedbase.py run [line:316] INFO Eval Time Cost:               1.4949s
2026-09-24 18:19:03,187 asyncbase.py iterate [line:68] INFO Select clients [np.int64(15)] at time 2.
2026-09-24 18:19:03,499 asyncbase.py iterate [line:73] INFO Receive new models from clients [7] at time 2
2026-09-24 18:19:03,512 fedbase.py run [line:311] INFO --------------Round 2--------------
2026-09-24 18:19:03,512 simple_logger.py log_once [line:14] INFO Current_time:2
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1689
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO test_loss                     5.7459
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1737
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1735
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2962
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO val_loss                      5.7127
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.7220
2026-09-24 18:19:04,976 simple_logger.py log_once [line:28] INFO std_val_loss                  3.7980
2026-09-24 18:19:04,977 fedbase.py run [line:316] INFO Eval Time Cost:               1.4648s
