phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,record
1,baseline_none,0,complete,0.3357,ok,9.16675492553711,0,21,0,0,0.18983,0.0,,11,34.24363619997166,0.0,0.0,,,1.4761904761904763,18.834115006029606,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_594ebf6ab2.json
1,triage_none,0,complete,0.3051,ok,9.245317658996582,0,21,0,0,0.18887,0.0,,11,32.762683500070125,0.0,0.0,,,1.4761904761904763,24.912830011453476,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_40942dd517.json
1,baseline_ipm,0,complete,0.272,ok,8.910847557067871,0,21,3,0,0.1806,0.0,,11,32.97849050001241,0.0,0.0,,,1.4761904761904763,16.967830009525642,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_6024a1569b.json
1,triage_ipm,0,complete,0.0958,ok,29.821677850341796,0,21,3,0,0.16429,0.0,,11,33.27931409992743,0.0,0.05263157894736842,,,1.4761904761904763,22.577004955383018,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_d27fd99138.json
1,baseline_backdoor,0,complete,0.1843,ok,8.391485681152345,0,21,3,0,0.14185999999999999,0.0,0.003547671840354767,11,46.15655109996442,0.0,0.0,,,1.4761904761904763,19.57432494382374,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_ffe002de32.json
1,triage_backdoor,0,complete,0.3194,ok,8.40384977722168,0,21,3,0,0.1693,0.0,0.041463414634146344,11,45.538006699993275,0.0,0.0,,,1.4761904761904763,25.163059995975342,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_a63b016b2f.json
2,baseline_ipm,0,complete,0.2674,ok,9.111173815917969,0,21,3,0,0.18264,0.0,,11,34.24563729995862,0.0,0.0,,,1.4761904761904763,16.83899500640109,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_2f4690142d.json
2,triage_ipm,0,complete,0.0958,ok,30.243944067382813,0,21,3,0,0.15657,0.0,,11,33.25935429998208,0.0,0.05263157894736842,,,1.4761904761904763,22.497880016453564,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_3d860c0522.json
2,baseline_timed_ipm,0,complete,0.0982,ok,15.785597555541992,0,20,2,0,0.15122,0.0,,12,32.50254210003186,0.0,0.0,,,1.5,18.29848998459056,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_63f7768375.json
2,triage_timed_ipm,0,complete,0.1259,ok,15.338038516235352,0,20,2,0,0.16449,0.0,,12,32.59411950001959,0.0,0.0,,,1.5,22.408114990685135,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R10_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_81b62945c0.json
