phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,last_logged_round,last_logged_accuracy,last_logged_loss,failure_reason,record
1,baseline_none,0,complete,0.4586,ok,45.887498931884764,0,244,0,0,0.34048,0.0,,105,238.24786929995753,0.0,0.0,,,1.3278688524590163,58.83195502101444,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_6fb29c91f8.json
1,baseline_none,1,complete,0.1592,ok,70.88029382324218,0,236,0,0,0.17735,0.0,,104,240.4107587999897,0.0,0.0,,,1.36864406779661,59.59249996813014,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_6956e7a80e.json
1,baseline_none,2,complete,0.1032,ok,70.6887515625,0,226,0,0,0.10432,0.0,,105,240.69727869995404,0.0,0.0,,,1.4823008849557522,60.49121997202745,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_b28f30e1b9.json
1,triage_none,0,complete,0.3786,ok,32.15629367370605,0,243,0,0,0.1965,0.0,,105,239.80425479996484,0.0,0.08396946564885496,,,1.3333333333333333,65.15568002359942,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_ffd5141708.json
1,triage_none,1,complete,0.2016,ok,35.50957760620117,0,236,0,0,0.15239,0.0,,104,234.05709989997558,0.0,0.05220883534136546,,,1.36864406779661,63.36140500498004,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_e5bd5bd197.json
1,triage_none,2,complete,0.1032,ok,17.626438677978516,0,226,0,0,0.10539,0.0,,105,235.4531655999599,0.0,0.058577405857740586,,,1.4823008849557522,71.65296502644195,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_855cf7a881.json
1,baseline_ipm,0,failed,,stopped_divergence,4434748.8104,,,,,,,,,161.08573370007798,,,,,,,,65,0.1135,4434748.8104,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
1,baseline_ipm,1,failed,,stopped_divergence,300416.3806,,,,,,,,,218.16107739997096,,,,,,,,93,0.0974,187554.279,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
1,baseline_ipm,2,complete,0.4358,ok,35.326162158203125,0,226,44,0,0.54922,0.0,,105,230.0834372000536,0.0,0.0,,,1.4823008849557522,64.41156001528725,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_7171642a85.json
1,triage_ipm,0,failed,,stopped_divergence,422546.7245,,,,,,,,,157.31066940003075,,,,,,,,64,0.101,422546.7245,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
