phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,last_logged_round,last_logged_accuracy,last_logged_loss,failure_reason,record
1,baseline_none,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_none,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_none,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_none,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_none,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_none,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_ipm,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_ipm,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_ipm,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_ipm,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_ipm,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_ipm,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_backdoor,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_backdoor,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_backdoor,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_backdoor,3,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_backdoor,4,planned,,,,,,,,,,,,,,,,,,,,,,,,
1,triage_backdoor,5,planned,,,,,,,,,,,,,,,,,,,,,,,,
